split,video_path,eeg_path,block,clip_id
train,data/Video_mp4/Block0/1.mp4,data/gaspardnew/eeg_firstw/sub3/Block0/1.npy,0,1
train,data/Video_mp4/Block0/2.mp4,data/gaspardnew/eeg_firstw/sub3/Block0/2.npy,0,2
train,data/Video_mp4/Block0/3.mp4,data/gaspardnew/eeg_firstw/sub3/Block0/3.npy,0,3
train,data/Video_mp4/Block0/4.mp4,data/gaspardnew/eeg_firstw/sub3/Block0/4.npy,0,4
train,data/Video_mp4/Block0/5.mp4,data/gaspardnew/eeg_firstw/sub3/Block0/5.npy,0,5
train,data/Video_mp4/Block0/6.mp4,data/gaspardnew/eeg_firstw/sub3/Block0/6.npy,0,6
train,data/Video_mp4/Block0/7.mp4,data/gaspardnew/eeg_firstw/sub3/Block0/7.npy,0,7
train,data/Video_mp4/Block0/8.mp4,data/gaspardnew/eeg_firstw/sub3/Block0/8.npy,0,8
train,data/Video_mp4/Block0/9.mp4,data/gaspardnew/eeg_firstw/sub3/Block0/9.npy,0,9
train,data/Video_mp4/Block0/10.mp4,data/gaspardnew/eeg_firstw/sub3/Block0/10.npy,0,10
train,data/Video_mp4/Block0/11.mp4,data/gaspardnew/eeg_firstw/sub3/Block0/11.npy,0,11
train,data/Video_mp4/Block0/12.mp4,data/gaspardnew/eeg_firstw/sub3/Block0/12.npy,0,12
train,data/Video_mp4/Block0/13.mp4,data/gaspardnew/eeg_firstw/sub3/Block0/13.npy,0,13
train,data/Video_mp4/Block0/14.mp4,data/gaspardnew/eeg_firstw/sub3/Block0/14.npy,0,14
train,data/Video_mp4/Block0/15.mp4,data/gaspardnew/eeg_firstw/sub3/Block0/15.npy,0,15
train,data/Video_mp4/Block0/16.mp4,data/gaspardnew/eeg_firstw/sub3/Block0/16.npy,0,16
train,data/Video_mp4/Block0/17.mp4,data/gaspardnew/eeg_firstw/sub3/Block0/17.npy,0,17
train,data/Video_mp4/Block0/18.mp4,data/gaspardnew/eeg_firstw/sub3/Block0/18.npy,0,18
train,data/Video_mp4/Block0/19.mp4,data/gaspardnew/eeg_firstw/sub3/Block0/19.npy,0,19
train,data/Video_mp4/Block0/20.mp4,data/gaspardnew/eeg_firstw/sub3/Block0/20.npy,0,20
